Year;State;County;Number of Farms;Total Farm Area;Area per Farm;Land in Farms;Change Since 1970
;;;;acre;acre;%;%
1981;WI    ;Forest;180;42000;233;6.5;0.0
1982;WI    ;Forest;180;41800;232;6.4;0.0
1983;WI    ;Forest;150;31300;209;4.8;-1.6
1984;WI    ;Forest;150;30900;206;4.8;-0.1
1985;WI    ;Forest;140;31000;221;4.8;0.0
1986;WI    ;Forest;140;31000;221;4.8;0.0
1987;WI    ;Forest;150;32000;213;4.9;0.2
1988;WI    ;Forest;150;32000;213;4.9;0.0
1989;WI    ;Forest;150;30000;200;4.6;-0.3
1990;WI    ;Forest;140;30000;214;4.6;0.0
1991;WI    ;Forest;140;30000;214;4.6;0.0
1992;WI    ;Forest;130;30000;231;4.6;0.0
1993;WI    ;Forest;130;29000;223;4.5;-0.2
1994;WI    ;Forest;130;29000;223;4.5;0.0
1995;WI    ;Forest;130;29000;223;4.5;0.0
1996;WI    ;Forest;130;28000;215;4.3;-0.2
1997;WI    ;Forest;130;29000;223;4.5;0.2
1998;WI    ;Forest;130;29000;223;4.5;0.0
1999;WI    ;Forest;130;29000;223;4.5;0.0
1970;WI    ;Grant;3070;678000;221;92.3;
1971;WI    ;Grant;3030;667300;220;90.8;-1.5
1972;WI    ;Grant;3040;668400;220;91.0;0.1
1973;WI    ;Grant;3050;670100;220;91.2;0.2
1974;WI    ;Grant;3040;669900;220;91.2;0.0
1975;WI    ;Grant;2900;660000;228;89.8;-1.3
1976;WI    ;Grant;2900;658000;227;89.6;-0.3
1977;WI    ;Grant;2890;655500;227;89.2;-0.3
1978;WI    ;Grant;2860;655400;229;89.2;0.0
1979;WI    ;Grant;2850;651800;229;88.7;-0.5
1980;WI    ;Grant;2850;648000;227;88.2;-0.5
1981;WI    ;Grant;2820;649400;230;88.4;0.2
1982;WI    ;Grant;2760;645900;234;87.9;-0.5
1983;WI    ;Grant;2740;691200;252;94.1;6.2
1984;WI    ;Grant;2680;690300;258;94.0;-0.1
1985;WI    ;Grant;2590;693000;268;94.3;0.4
1986;WI    ;Grant;2570;688000;268;93.6;-0.7
1987;WI    ;Grant;2640;689000;261;93.8;0.1
1988;WI    ;Grant;2670;690000;258;93.9;0.1
1989;WI    ;Grant;2670;688000;258;93.6;-0.3
1990;WI    ;Grant;2660;688000;259;93.6;0.0
1991;WI    ;Grant;2610;681000;261;92.7;-1.0
1992;WI    ;Grant;2670;698000;261;95.0;2.3
1993;WI    ;Grant;2740;688000;251;93.6;-1.4
1994;WI    ;Grant;2740;679000;248;92.4;-1.2
1995;WI    ;Grant;2740;669000;244;91.1;-1.4
1996;WI    ;Grant;2730;665000;244;90.5;-0.5
1997;WI    ;Grant;2680;667000;249;90.8;0.3
1998;WI    ;Grant;2600;660000;254;89.8;-1.0
1999;WI    ;Grant;2600;655000;252;89.1;-0.7
1970;WI    ;Green;1890;372000;197;99.5;
1971;WI    ;Green;1870;368300;197;98.5;-1.0
1972;WI    ;Green;1870;368500;197;98.6;0.1
1973;WI    ;Green;1880;370400;197;99.1;0.5
1974;WI    ;Green;1870;369200;197;98.8;-0.3
1975;WI    ;Green;1780;364000;204;97.4;-1.4
1976;WI    ;Green;1780;365000;205;97.7;0.3
1977;WI    ;Green;1750;367400;210;98.3;0.6
1978;WI    ;Green;1740;366400;211;98.0;-0.3
1979;WI    ;Green;1700;366400;216;98.0;0.0
1980;WI    ;Green;1710;364400;213;97.5;-0.5
1981;WI    ;Green;1690;364400;216;97.5;0.0
1982;WI    ;Green;1650;362400;220;97.0;-0.5
1983;WI    ;Green;1620;357900;221;95.8;-1.2
1984;WI    ;Green;1580;356000;225;95.2;-0.5
1985;WI    ;Green;1520;352000;232;94.2;-1.1
1986;WI    ;Green;1500;350000;233;93.6;-0.5
1987;WI    ;Green;1520;349000;230;93.4;-0.3
1988;WI    ;Green;1550;351000;226;93.9;0.5
1989;WI    ;Green;1530;348000;227;93.1;-0.8
1990;WI    ;Green;1510;348000;230;93.1;0.0
1991;WI    ;Green;1510;348000;230;93.1;0.0
1992;WI    ;Green;1450;326000;225;87.2;-5.9
1993;WI    ;Green;1480;326000;220;87.2;0.0
1994;WI    ;Green;1480;323000;218;86.4;-0.8
1995;WI    ;Green;1500;323000;215;86.4;0.0
1996;WI    ;Green;1520;322000;212;86.2;-0.3
1997;WI    ;Green;1560;336000;215;89.9;3.7
1998;WI    ;Green;1540;332000;216;88.8;-1.1
1999;WI    ;Green;1540;330000;214;88.3;-0.5
1970;WI    ;Green Lake;970;181000;187;79.9;
1971;WI    ;Green Lake;940;178300;190;78.7;-1.2
1972;WI    ;Green Lake;940;178600;190;78.8;0.1
1973;WI    ;Green Lake;920;176200;192;77.8;-1.1
1974;WI    ;Green Lake;910;176000;193;77.7;-0.1
1975;WI    ;Green Lake;860;171000;199;75.5;-2.2
1976;WI    ;Green Lake;840;171000;204;75.5;0.0
1977;WI    ;Green Lake;820;169000;206;74.6;-0.9
1978;WI    ;Green Lake;800;167000;209;73.7;-0.9
1979;WI    ;Green Lake;790;165800;210;73.2;-0.5
1980;WI    ;Green Lake;790;165800;210;73.2;0.0
1981;WI    ;Green Lake;780;165800;213;73.2;0.0
1982;WI    ;Green Lake;770;172000;223;75.9;2.7
1983;WI    ;Green Lake;750;173500;231;76.6;0.7
1984;WI    ;Green Lake;730;169500;232;74.8;-1.8
1985;WI    ;Green Lake;710;169000;238;74.6;-0.2
1986;WI    ;Green Lake;700;168000;240;74.2;-0.4
1987;WI    ;Green Lake;740;169000;228;74.6;0.4
1988;WI    ;Green Lake;750;171000;228;75.5;0.9
1989;WI    ;Green Lake;750;167000;223;73.7;-1.8
1990;WI    ;Green Lake;740;167000;226;73.7;0.0
1991;WI    ;Green Lake;730;167000;229;73.7;0.0
1992;WI    ;Green Lake;800;182000;228;80.3;6.6
1993;WI    ;Green Lake;810;180000;222;79.4;-0.9
1994;WI    ;Green Lake;810;178000;220;78.6;-0.9
1995;WI    ;Green Lake;820;177000;216;78.1;-0.4
1996;WI    ;Green Lake;810;175000;216;77.2;-0.9
1997;WI    ;Green Lake;700;151000;216;66.6;-10.6
1998;WI    ;Green Lake;690;148000;214;65.3;-1.3
1999;WI    ;Green Lake;690;148000;214;65.3;0.0
1970;WI    ;Iowa;1700;437000;257;89.5;
1971;WI    ;Iowa;1670;432400;259;88.5;-0.9
1972;WI    ;Iowa;1680;431000;257;88.3;-0.3
1973;WI    ;Iowa;1680;431800;257;88.4;0.2
1974;WI    ;Iowa;1670;430300;258;88.1;-0.3
1975;WI    ;Iowa;1610;426000;265;87.2;-0.9
1976;WI    ;Iowa;1600;423000;264;86.6;-0.6
1977;WI    ;Iowa;1600;423000;264;86.6;0.0
1978;WI    ;Iowa;1590;422800;266;86.6;0.0
1979;WI    ;Iowa;1570;419000;267;85.8;-0.8
1980;WI    ;Iowa;1570;418000;266;85.6;-0.2
1981;WI    ;Iowa;1560;418000;268;85.6;0.0
1982;WI    ;Iowa;1520;415700;273;85.1;-0.5
1983;WI    ;Iowa;1530;429000;280;87.9;2.7
1984;WI    ;Iowa;1500;428400;286;87.7;-0.1
1985;WI    ;Iowa;1450;430000;297;88.1;0.3
1986;WI    ;Iowa;1440;428000;297;87.6;-0.4
1987;WI    ;Iowa;1440;418000;290;85.6;-2.0
1988;WI    ;Iowa;1460;419000;287;85.8;0.2
1989;WI    ;Iowa;1470;418000;284;85.6;-0.2
1990;WI    ;Iowa;1470;418000;284;85.6;0.0
1991;WI    ;Iowa;1450;413000;285;84.6;-1.0
1992;WI    ;Iowa;1520;409000;269;83.8;-0.8
1993;WI    ;Iowa;1560;403000;258;82.5;-1.2
1994;WI    ;Iowa;1560;396000;254;81.1;-1.4
1995;WI    ;Iowa;1570;391000;249;80.1;-1.0
1996;WI    ;Iowa;1570;385000;245;78.8;-1.2
1997;WI    ;Iowa;1670;404000;242;82.7;3.9
1998;WI    ;Iowa;1620;398000;246;81.5;-1.2
1999;WI    ;Iowa;1620;394000;243;80.7;-0.8
1970;WI    ;Iron;90;21000;233;4.3;
1971;WI    ;Iron;90;20700;230;4.3;-0.1
1972;WI    ;Iron;90;20700;230;4.3;0.0
1973;WI    ;Iron;80;18500;231;3.8;-0.5
1974;WI    ;Iron;80;18000;225;3.7;-0.1
1975;WI    ;Iron;80;18000;225;3.7;0.0
1976;WI    ;Iron;70;18000;257;3.7;0.0
1977;WI    ;Iron;70;16000;229;3.3;-0.4
1978;WI    ;Iron;70;15500;221;3.2;-0.1
1979;WI    ;Iron;70;15500;221;3.2;0.0
1980;WI    ;Iron;60;14000;233;2.9;-0.3
1981;WI    ;Iron;60;14500;242;3.0;0.1
1982;WI    ;Iron;70;14400;206;3.0;0.0
1983;WI    ;Iron;70;15000;214;3.1;0.1
1984;WI    ;Iron;70;14700;210;3.0;-0.1
1985;WI    ;Iron;70;15000;214;3.1;0.1
1986;WI    ;Iron;70;15000;214;3.1;0.0
1987;WI    ;Iron;60;15000;250;3.1;0.0
1988;WI    ;Iron;60;15000;250;3.1;0.0
1989;WI    ;Iron;60;14100;235;2.9;-0.2
1990;WI    ;Iron;60;14100;235;2.9;0.0
1991;WI    ;Iron;60;14000;233;2.9;0.0
1992;WI    ;Iron;60;12000;200;2.5;-0.4
1993;WI    ;Iron;70;12000;171;2.5;0.0
1994;WI    ;Iron;70;11000;157;2.3;-0.2
1995;WI    ;Iron;70;11000;157;2.3;0.0
1996;WI    ;Iron;70;11000;157;2.3;0.0
1997;WI    ;Iron;50;10000;200;2.1;-0.2
1998;WI    ;Iron;50;10000;200;2.1;0.0
1999;WI    ;Iron;50;10000;200;2.1;0.0
1970;WI    ;Jackson;1230;290000;236;45.9;
1971;WI    ;Jackson;1230;289900;236;45.9;0.0
1972;WI    ;Jackson;1230;287800;234;45.6;-0.3
1973;WI    ;Jackson;1240;289800;234;45.9;0.3
1974;WI    ;Jackson;1230;287400;234;45.5;-0.4
1975;WI    ;Jackson;1160;282000;243;44.6;-0.9
1976;WI    ;Jackson;1120;279000;249;44.2;-0.5
1977;WI    ;Jackson;1140;278100;244;44.0;-0.1
1978;WI    ;Jackson;1130;275900;244;43.7;-0.3
1979;WI    ;Jackson;1140;272900;239;43.2;-0.5
1980;WI    ;Jackson;1140;272900;239;43.2;0.0
1981;WI    ;Jackson;1130;272000;241;43.1;-0.1
1982;WI    ;Jackson;1100;270500;246;42.8;-0.2
1983;WI    ;Jackson;960;261000;272;41.3;-1.5
1984;WI    ;Jackson;950;260800;275;41.3;0.0
1985;WI    ;Jackson;920;259000;282;41.0;-0.3
1986;WI    ;Jackson;910;258000;284;40.8;-0.2
1987;WI    ;Jackson;860;249000;290;39.4;-1.4
1988;WI    ;Jackson;870;249000;286;39.4;0.0
1989;WI    ;Jackson;850;252000;296;39.9;0.5
1990;WI    ;Jackson;840;252000;300;39.9;0.0
1991;WI    ;Jackson;820;250000;305;39.6;-0.3
1992;WI    ;Jackson;830;245000;295;38.8;-0.8
1993;WI    ;Jackson;860;243000;283;38.5;-0.3
1994;WI    ;Jackson;890;242000;272;38.3;-0.2
1995;WI    ;Jackson;900;239000;266;37.8;-0.5
1996;WI    ;Jackson;900;237000;263;37.5;-0.3
1997;WI    ;Jackson;930;265000;285;42.0;4.4
1998;WI    ;Jackson;920;265000;288;42.0;0.0
1999;WI    ;Jackson;920;265000;288;42.0;0.0
1970;WI    ;Jefferson;2200;303000;138;85.0;
1971;WI    ;Jefferson;2180;300300;138;84.2;-0.8
1972;WI    ;Jefferson;2110;299400;142;84.0;-0.3
1973;WI    ;Jefferson;2100;297200;142;83.4;-0.6
1974;WI    ;Jefferson;2090;296800;142;83.3;-0.1
1975;WI    ;Jefferson;1990;293000;147;82.2;-1.1
1976;WI    ;Jefferson;1980;292000;147;81.9;-0.3
1977;WI    ;Jefferson;1890;289900;153;81.3;-0.6
1978;WI    ;Jefferson;1880;288400;153;80.9;-0.4
1979;WI    ;Jefferson;1880;288000;153;80.8;-0.1
1980;WI    ;Jefferson;1850;287000;155;80.5;-0.3
1981;WI    ;Jefferson;1830;287000;157;80.5;0.0
1982;WI    ;Jefferson;1780;285400;160;80.1;-0.4
1983;WI    ;Jefferson;1710;284900;167;79.9;-0.1
1984;WI    ;Jefferson;1670;283400;170;79.5;-0.4
1985;WI    ;Jefferson;1610;282000;175;79.1;-0.4
1986;WI    ;Jefferson;1590;281000;177;78.8;-0.3
1987;WI    ;Jefferson;1550;276000;178;77.4;-1.4
1988;WI    ;Jefferson;1580;277000;175;77.7;0.3
1989;WI    ;Jefferson;1550;275000;177;77.1;-0.6
1990;WI    ;Jefferson;1530;275000;180;77.1;0.0
1991;WI    ;Jefferson;1540;275000;179;77.1;0.0
1992;WI    ;Jefferson;1480;259000;175;72.7;-4.5
1993;WI    ;Jefferson;1480;259000;175;72.7;0.0
1994;WI    ;Jefferson;1480;257000;174;72.1;-0.6
1995;WI    ;Jefferson;1490;257000;172;72.1;0.0
1996;WI    ;Jefferson;1510;256000;170;71.8;-0.3
1997;WI    ;Jefferson;1500;268000;179;75.2;3.4
1998;WI    ;Jefferson;1480;264000;178;74.1;-1.1
1999;WI    ;Jefferson;1480;263000;178;73.8;-0.3
1970;WI    ;Juneau;1140;203000;178;41.3;
1971;WI    ;Juneau;1070;200400;187;40.8;-0.5
1972;WI    ;Juneau;1060;198200;187;40.3;-0.4
1973;WI    ;Juneau;1060;198700;187;40.4;0.1
1974;WI    ;Juneau;1030;195200;190;39.7;-0.7
1975;WI    ;Juneau;980;192000;196;39.1;-0.7
1976;WI    ;Juneau;970;193000;199;39.3;0.2
1977;WI    ;Juneau;920;182900;199;37.2;-2.1
1978;WI    ;Juneau;910;182900;201;37.2;0.0
1979;WI    ;Juneau;900;182900;203;37.2;0.0
1980;WI    ;Juneau;910;185900;204;37.8;0.6
1981;WI    ;Juneau;900;189900;211;38.6;0.8
1982;WI    ;Juneau;880;202000;230;41.1;2.5
1983;WI    ;Juneau;880;207900;236;42.3;1.2
1984;WI    ;Juneau;860;203000;236;41.3;-1.0
1985;WI    ;Juneau;830;202000;243;41.1;-0.2
1986;WI    ;Juneau;820;200000;244;40.7;-0.4
1987;WI    ;Juneau;820;201000;245;40.9;0.2
1988;WI    ;Juneau;830;202000;243;41.1;0.2
1989;WI    ;Juneau;830;199000;240;40.5;-0.6
1990;WI    ;Juneau;820;199000;243;40.5;0.0
1991;WI    ;Juneau;810;199000;246;40.5;0.0
1992;WI    ;Juneau;780;217000;278;44.1;3.7
1993;WI    ;Juneau;780;215000;276;43.7;-0.4
1994;WI    ;Juneau;780;213000;273;43.3;-0.4
1995;WI    ;Juneau;790;209000;265;42.5;-0.8
1996;WI    ;Juneau;780;206000;264;41.9;-0.6
1997;WI    ;Juneau;780;189000;242;38.5;-3.5
1998;WI    ;Juneau;770;185000;240;37.6;-0.8
1999;WI    ;Juneau;770;182000;236;37.0;-0.6
1970;WI    ;Kenosha;740;120000;162;68.7;
1971;WI    ;Kenosha;710;118600;167;67.9;-0.8
1972;WI    ;Kenosha;680;118500;174;67.8;-0.1
1973;WI    ;Kenosha;670;117700;176;67.4;-0.5
1974;WI    ;Kenosha;660;116700;177;66.8;-0.6
1975;WI    ;Kenosha;620;112000;181;64.1;-2.7
1976;WI    ;Kenosha;610;112000;184;64.1;0.0
1977;WI    ;Kenosha;570;109100;191;62.4;-1.7
1978;WI    ;Kenosha;580;109100;188;62.4;0.0
1979;WI    ;Kenosha;560;107200;191;61.4;-1.1
1980;WI    ;Kenosha;570;110200;193;63.1;1.7
1981;WI    ;Kenosha;560;114200;204;65.4;2.3
1982;WI    ;Kenosha;560;113600;203;65.0;-0.3
1983;WI    ;Kenosha;590;106400;180;60.9;-4.1
1984;WI    ;Kenosha;580;102000;176;58.4;-2.5
1985;WI    ;Kenosha;560;101000;180;57.8;-0.6
1986;WI    ;Kenosha;560;101000;180;57.8;0.0
1987;WI    ;Kenosha;550;103000;187;59.0;1.1
1988;WI    ;Kenosha;560;102000;182;58.4;-0.6
1989;WI    ;Kenosha;550;101000;184;57.8;-0.6
1990;WI    ;Kenosha;540;101000;187;57.8;0.0
1991;WI    ;Kenosha;540;101000;187;57.8;0.0
1992;WI    ;Kenosha;510;102000;200;58.4;0.6
1993;WI    ;Kenosha;510;100000;196;57.2;-1.1
1994;WI    ;Kenosha;500;98000;196;56.1;-1.1
1995;WI    ;Kenosha;500;97000;194;55.5;-0.6
1996;WI    ;Kenosha;480;95000;198;54.4;-1.1
1997;WI    ;Kenosha;470;93000;198;53.2;-1.1
1998;WI    ;Kenosha;460;90000;196;51.5;-1.7
1999;WI    ;Kenosha;460;89000;193;50.9;-0.6
1970;WI    ;Kewaunee;1420;209000;147;95.2;
1971;WI    ;Kewaunee;1420;206300;145;94.0;-1.2
1972;WI    ;Kewaunee;1430;207400;145;94.5;0.5
1973;WI    ;Kewaunee;1410;205100;145;93.4;-1.0
1974;WI    ;Kewaunee;1410;205100;145;93.4;0.0
1975;WI    ;Kewaunee;1340;203000;151;92.5;-1.0
1976;WI    ;Kewaunee;1330;202000;152;92.0;-0.5
1977;WI    ;Kewaunee;1310;198500;152;90.4;-1.6
1978;WI    ;Kewaunee;1280;198000;155;90.2;-0.2
1979;WI    ;Kewaunee;1280;197500;154;90.0;-0.2
1980;WI    ;Kewaunee;1260;197500;157;90.0;0.0
1981;WI    ;Kewaunee;1240;197500;159;90.0;0.0
1982;WI    ;Kewaunee;1220;196500;161;89.5;-0.5
1983;WI    ;Kewaunee;1200;192400;160;87.6;-1.9
1984;WI    ;Kewaunee;1170;189300;162;86.2;-1.4
1985;WI    ;Kewaunee;1130;188000;166;85.6;-0.6
1986;WI    ;Kewaunee;1120;186000;166;84.7;-0.9
1987;WI    ;Kewaunee;1090;192000;176;87.5;2.7
1988;WI    ;Kewaunee;1110;193000;174;87.9;0.5
1989;WI    ;Kewaunee;1080;186000;172;84.7;-3.2
1990;WI    ;Kewaunee;1060;186000;175;84.7;0.0
1991;WI    ;Kewaunee;1050;186000;177;84.7;0.0
1992;WI    ;Kewaunee;1050;190000;181;86.6;1.8
1993;WI    ;Kewaunee;1050;187000;178;85.2;-1.4
1994;WI    ;Kewaunee;1050;184000;175;83.8;-1.4
1995;WI    ;Kewaunee;1060;184000;174;83.8;0.0
1996;WI    ;Kewaunee;1040;181000;174;82.5;-1.4
1997;WI    ;Kewaunee;960;178000;185;81.1;-1.4
1998;WI    ;Kewaunee;950;176000;185;80.2;-0.9
1999;WI    ;Kewaunee;950;175000;184;79.7;-0.5
1970;WI    ;La Crosse;1080;235000;218;81.1;
1971;WI    ;La Crosse;1070;233800;219;80.6;-0.4
1972;WI    ;La Crosse;1080;233500;216;80.5;-0.1
1973;WI    ;La Crosse;1060;229800;217;79.3;-1.3
1974;WI    ;La Crosse;1060;229800;217;79.3;0.0
1975;WI    ;La Crosse;1010;227000;225;78.3;-1.0
1976;WI    ;La Crosse;1000;225000;225;77.6;-0.7
1977;WI    ;La Crosse;990;222000;224;76.6;-1.0
1978;WI    ;La Crosse;980;220500;225;76.1;-0.5
1979;WI    ;La Crosse;970;218500;225;75.4;-0.7
1980;WI    ;La Crosse;970;218300;225;75.3;-0.1
1981;WI    ;La Crosse;970;217500;224;75.0;-0.3
1982;WI    ;La Crosse;950;216300;228;74.6;-0.4
1983;WI    ;La Crosse;920;213800;232;73.7;-0.9
1984;WI    ;La Crosse;910;213600;235;73.7;-0.1
1985;WI    ;La Crosse;880;213000;242;73.5;-0.2
1986;WI    ;La Crosse;870;211000;243;72.8;-0.7
1987;WI    ;La Crosse;880;208000;236;71.7;-1.0
1988;WI    ;La Crosse;900;206000;229;71.1;-0.7
1989;WI    ;La Crosse;880;208000;236;71.7;0.7
1990;WI    ;La Crosse;880;208000;236;71.7;0.0
1991;WI    ;La Crosse;860;205000;238;70.7;-1.0
1992;WI    ;La Crosse;910;205000;225;70.7;0.0
1993;WI    ;La Crosse;940;203000;216;70.0;-0.7
1994;WI    ;La Crosse;970;202000;208;69.7;-0.3
1995;WI    ;La Crosse;980;202000;206;69.7;0.0
1996;WI    ;La Crosse;970;201000;207;69.3;-0.3
1997;WI    ;La Crosse;920;189000;205;65.2;-4.1
1998;WI    ;La Crosse;920;187000;203;64.5;-0.7
1999;WI    ;La Crosse;920;186000;202;64.2;-0.3
1970;WI    ;Lafayette;1690;391000;231;96.4;
1971;WI    ;Lafayette;1670;389300;233;95.9;-0.4
1972;WI    ;Lafayette;1670;390100;234;96.1;0.2
1973;WI    ;Lafayette;1670;390800;234;96.3;0.2
1974;WI    ;Lafayette;1660;389500;235;96.0;-0.3
1975;WI    ;Lafayette;1590;386000;243;95.1;-0.9
1976;WI    ;Lafayette;1580;383000;242;94.4;-0.7
1977;WI    ;Lafayette;1580;380700;241;93.8;-0.6
1978;WI    ;Lafayette;1570;380500;242;93.8;0.0
1979;WI    ;Lafayette;1570;378500;241;93.3;-0.5
1980;WI    ;Lafayette;1570;378900;241;93.4;0.1
1981;WI    ;Lafayette;1560;380500;244;93.8;0.4
1982;WI    ;Lafayette;1520;378400;249;93.3;-0.5
1983;WI    ;Lafayette;1520;407700;268;100.5;7.2
1984;WI    ;Lafayette;1490;407200;273;100.4;-0.1
1985;WI    ;Lafayette;1430;409000;286;100.8;0.4
1986;WI    ;Lafayette;1410;406000;288;100.1;-0.7
1987;WI    ;Lafayette;1430;403000;282;99.3;-0.7
1988;WI    ;Lafayette;1440;404000;281;99.6;0.2
1989;WI    ;Lafayette;1440;404000;281;99.6;0.0
1990;WI    ;Lafayette;1420;404000;285;99.6;0.0
1991;WI    ;Lafayette;1400;400000;286;98.6;-1.0
1992;WI    ;Lafayette;1420;402000;283;99.1;0.5
1993;WI    ;Lafayette;1440;396000;275;97.6;-1.5
1994;WI    ;Lafayette;1450;390000;269;96.1;-1.5
1995;WI    ;Lafayette;1470;385000;262;94.9;-1.2
1996;WI    ;Lafayette;1470;382000;260;94.1;-0.7
1997;WI    ;Lafayette;1350;375000;278;92.4;-1.7
1998;WI    ;Lafayette;1330;369000;277;90.9;-1.5
1999;WI    ;Lafayette;1330;365000;274;90.0;-1.0
1970;WI    ;Langlade;840;177000;211;46.2;
1971;WI    ;Langlade;820;176100;215;46.0;-0.2
1972;WI    ;Langlade;800;169300;212;44.2;-1.8
1973;WI    ;Langlade;770;165500;215;43.2;-1.0
1974;WI    ;Langlade;760;164100;216;42.9;-0.4
1975;WI    ;Langlade;720;160000;222;41.8;-1.1
1976;WI    ;Langlade;710;160000;225;41.8;0.0
1977;WI    ;Langlade;680;158000;232;41.3;-0.5
1978;WI    ;Langlade;670;156200;233;40.8;-0.5
1979;WI    ;Langlade;630;153600;244;40.1;-0.7
1980;WI    ;Langlade;620;152000;245;39.7;-0.4
1981;WI    ;Langlade;610;152000;249;39.7;0.0
1982;WI    ;Langlade;590;151100;256;39.5;-0.2
1983;WI    ;Langlade;610;153800;252;40.2;0.7
1984;WI    ;Langlade;600;152000;253;39.7;-0.5
1985;WI    ;Langlade;580;152000;262;39.7;0.0
1986;WI    ;Langlade;580;152000;262;39.7;0.0
1987;WI    ;Langlade;550;146000;265;38.1;-1.6
1988;WI    ;Langlade;560;149000;266;38.9;0.8
1989;WI    ;Langlade;540;145000;269;37.9;-1.0
1990;WI    ;Langlade;520;145000;279;37.9;0.0
1991;WI    ;Langlade;510;144000;282;37.6;-0.3
1992;WI    ;Langlade;480;135000;281;35.3;-2.4
1993;WI    ;Langlade;490;132000;269;34.5;-0.8
1994;WI    ;Langlade;490;131000;267;34.2;-0.3
1995;WI    ;Langlade;490;128000;261;33.4;-0.8
1996;WI    ;Langlade;500;126000;252;32.9;-0.5
1997;WI    ;Langlade;550;135000;245;35.3;2.4
1998;WI    ;Langlade;540;134000;248;35.0;-0.3
1999;WI    ;Langlade;540;132000;244;34.5;-0.5
1970;WI    ;Lincoln;820;159000;194;28.1;
1971;WI    ;Lincoln;800;156900;196;27.8;-0.4
1972;WI    ;Lincoln;760;152700;201;27.0;-0.7
1973;WI    ;Lincoln;760;153500;202;27.2;0.1
1974;WI    ;Lincoln;750;152100;203;26.9;-0.2
1975;WI    ;Lincoln;710;151000;213;26.7;-0.2
1976;WI    ;Lincoln;690;147000;213;26.0;-0.7
1977;WI    ;Lincoln;670;143500;214;25.4;-0.6
1978;WI    ;Lincoln;650;142800;220;25.3;-0.1
1979;WI    ;Lincoln;640;142800;223;25.3;0.0
1980;WI    ;Lincoln;630;140600;223;24.9;-0.4
1981;WI    ;Lincoln;630;140600;223;24.9;0.0
1982;WI    ;Lincoln;610;139900;229;24.8;-0.1
1983;WI    ;Lincoln;620;130500;210;23.1;-1.7
1984;WI    ;Lincoln;600;127800;213;22.6;-0.5
1985;WI    ;Lincoln;580;127000;219;22.5;-0.1
1986;WI    ;Lincoln;580;126000;217;22.3;-0.2
1987;WI    ;Lincoln;550;120000;218;21.2;-1.1
1988;WI    ;Lincoln;570;120000;211;21.2;0.0
1989;WI    ;Lincoln;550;120000;218;21.2;0.0
1990;WI    ;Lincoln;550;120000;218;21.2;0.0
1991;WI    ;Lincoln;540;119000;220;21.1;-0.2
1992;WI    ;Lincoln;480;97000;202;17.2;-3.9
1993;WI    ;Lincoln;480;96000;200;17.0;-0.2
1994;WI    ;Lincoln;470;93000;198;16.5;-0.5
1995;WI    ;Lincoln;460;93000;202;16.5;0.0
1996;WI    ;Lincoln;450;91000;202;16.1;-0.4
1997;WI    ;Lincoln;510;92000;180;16.3;0.2
1998;WI    ;Lincoln;510;92000;180;16.3;0.0
1999;WI    ;Lincoln;510;91000;178;16.1;-0.2
1970;WI    ;Manitowoc;2350;333000;142;87.9;
1971;WI    ;Manitowoc;2320;330600;143;87.3;-0.6
1972;WI    ;Manitowoc;2290;330300;144;87.2;-0.1
1973;WI    ;Manitowoc;2260;327300;145;86.4;-0.8
1974;WI    ;Manitowoc;2240;326300;146;86.1;-0.3
1975;WI    ;Manitowoc;2130;323000;152;85.3;-0.9
1976;WI    ;Manitowoc;2100;320000;152;84.5;-0.8
1977;WI    ;Manitowoc;2080;320200;154;84.5;0.1
1978;WI    ;Manitowoc;2050;320100;156;84.5;0.0
1979;WI    ;Manitowoc;2020;316900;157;83.6;-0.8
1980;WI    ;Manitowoc;1980;314200;159;82.9;-0.7
1981;WI    ;Manitowoc;1930;314200;163;82.9;0.0
1982;WI    ;Manitowoc;1890;312600;165;82.5;-0.4
1983;WI    ;Manitowoc;1780;299200;168;79.0;-3.5
1984;WI    ;Manitowoc;1740;294500;169;77.7;-1.2
1985;WI    ;Manitowoc;1680;295000;176;77.9;0.1
1986;WI    ;Manitowoc;1660;292000;176;77.1;-0.8
1987;WI    ;Manitowoc;1650;292000;177;77.1;0.0
1988;WI    ;Manitowoc;1660;295000;178;77.9;0.8
1989;WI    ;Manitowoc;1630;290000;178;76.5;-1.3
1990;WI    ;Manitowoc;1610;290000;180;76.5;0.0
1991;WI    ;Manitowoc;1600;290000;181;76.5;0.0
1992;WI    ;Manitowoc;1560;279000;179;73.6;-2.9
1993;WI    ;Manitowoc;1560;275000;176;72.6;-1.1
1994;WI    ;Manitowoc;1540;269000;175;71.0;-1.6
1995;WI    ;Manitowoc;1550;268000;173;70.7;-0.3
1996;WI    ;Manitowoc;1520;264000;174;69.7;-1.1
1997;WI    ;Manitowoc;1490;269000;181;71.0;1.3
1998;WI    ;Manitowoc;1480;266000;180;70.2;-0.8
1999;WI    ;Manitowoc;1480;264000;178;69.7;-0.5
1970;WI    ;Marathon;4150;749000;180;75.7;
1971;WI    ;Marathon;4130;741200;179;75.0;-0.8
1972;WI    ;Marathon;4130;739400;179;74.8;-0.2
1973;WI    ;Marathon;4120;737400;179;74.6;-0.2
1974;WI    ;Marathon;4100;735200;179;74.4;-0.2
1975;WI    ;Marathon;3950;727000;184;73.5;-0.8
